startDate,value
2020-08-19 19:46:05 -0400,200
2020-08-19 19:45:58 -0400,199
2020-08-19 19:45:51 -0400,198
2020-08-19 19:45:47 -0400,197
2020-08-19 19:45:45 -0400,197
2020-08-19 19:45:38 -0400,195
2020-08-19 19:45:35 -0400,193
2020-08-19 19:45:27 -0400,191
2020-08-19 19:45:25 -0400,191
2020-08-19 19:45:16 -0400,187
2020-08-19 19:45:12 -0400,186
2020-08-19 19:45:06 -0400,188
2020-08-19 19:45:05 -0400,190
2020-08-19 19:44:56 -0400,195
2020-08-19 19:44:55 -0400,196
2020-08-19 19:44:46 -0400,198
2020-08-19 19:44:44 -0400,199
2020-08-19 19:44:40 -0400,200
2020-08-19 19:44:34 -0400,204
2020-08-19 19:44:30 -0400,204
2020-08-19 19:44:25 -0400,204
2020-08-19 19:44:20 -0400,201
2020-08-19 19:44:12 -0400,200
2020-08-19 19:44:10 -0400,199
2020-08-19 19:44:01 -0400,195
2020-08-19 19:43:56 -0400,192
2020-08-19 19:43:55 -0400,192
2020-08-19 19:43:48 -0400,191
2020-08-19 19:43:42 -0400,191
2020-08-19 19:43:39 -0400,192
2020-08-19 19:43:33 -0400,195
2020-08-19 19:43:26 -0400,199
2020-08-19 19:43:25 -0400,199
2020-08-19 19:43:20 -0400,199
2020-08-19 19:43:13 -0400,194
2020-08-19 19:43:07 -0400,190
2020-08-19 19:43:05 -0400,188
2020-08-19 19:43:00 -0400,187
2020-08-19 19:42:55 -0400,184
2020-08-19 19:42:46 -0400,175
2020-08-19 19:42:41 -0400,171
2020-08-19 19:42:36 -0400,166
2020-08-19 19:42:31 -0400,165
2020-08-19 19:42:30 -0400,165
2020-08-19 19:42:21 -0400,168
2020-08-19 19:42:18 -0400,169
2020-08-19 19:42:12 -0400,173
2020-08-19 19:42:10 -0400,173
2020-08-19 19:42:03 -0400,177
2020-08-19 19:41:56 -0400,182
2020-08-19 19:41:54 -0400,184
2020-08-19 19:41:50 -0400,186
2020-08-19 19:41:42 -0400,187
2020-08-19 19:41:36 -0400,189
2020-08-19 19:41:33 -0400,191
2020-08-19 19:41:28 -0400,193
2020-08-19 19:41:24 -0400,194
2020-08-19 19:41:20 -0400,196
2020-08-19 19:41:11 -0400,193
2020-08-19 19:41:10 -0400,193
2020-08-19 19:41:01 -0400,194
2020-08-19 19:40:59 -0400,193
2020-08-19 19:40:55 -0400,190
2020-08-19 19:40:48 -0400,188
2020-08-19 19:40:41 -0400,189
2020-08-19 19:40:40 -0400,188
2020-08-19 19:40:31 -0400,186
2020-08-19 19:40:30 -0400,185
2020-08-19 19:40:25 -0400,179
2020-08-19 19:40:17 -0400,171
2020-08-19 19:40:15 -0400,170
2020-08-19 19:40:06 -0400,168
2020-08-19 19:40:03 -0400,170
2020-08-19 19:40:00 -0400,171
2020-08-19 19:39:55 -0400,173
2020-08-19 19:39:48 -0400,177
2020-08-19 19:39:45 -0400,179
2020-08-19 19:39:36 -0400,184
2020-08-19 19:39:34 -0400,183
2020-08-19 19:39:26 -0400,187
2020-08-19 19:39:22 -0400,192
2020-08-19 19:39:16 -0400,193
2020-08-19 19:39:15 -0400,194
2020-08-19 19:39:10 -0400,193
2020-08-19 19:39:04 -0400,194
2020-08-19 19:39:00 -0400,192
2020-08-19 19:38:55 -0400,188
2020-08-19 19:38:46 -0400,183
2020-08-19 19:38:45 -0400,182
2020-08-19 19:38:40 -0400,180
2020-08-19 19:38:32 -0400,178
2020-08-19 19:38:26 -0400,172
2020-08-19 19:38:21 -0400,168
2020-08-19 19:38:16 -0400,167
2020-08-19 19:38:12 -0400,169
2020-08-19 19:38:08 -0400,171
2020-08-19 19:38:03 -0400,173
2020-08-19 19:38:00 -0400,173
2020-08-19 19:37:51 -0400,181
2020-08-19 19:37:49 -0400,181
2020-08-19 19:37:45 -0400,182
2020-08-19 19:37:38 -0400,185
