startDate,value,type
2020-09-13 10:15:43 -0400,3,FlightsClimbed
2020-09-13 10:14:39 -0400,194,StepCount
2020-09-13 10:14:39 -0400,0.0833913,DistanceWalkingRunning
2020-09-13 09:55:30 -0400,66.943,BasalEnergyBurned
2020-09-13 08:55:30 -0400,66.943,BasalEnergyBurned
2020-09-13 07:55:30 -0400,66.943,BasalEnergyBurned
2020-09-13 06:55:30 -0400,66.943,BasalEnergyBurned
2020-09-13 05:55:30 -0400,66.943,BasalEnergyBurned
2020-09-13 04:55:30 -0400,66.943,BasalEnergyBurned
2020-09-13 03:55:30 -0400,66.943,BasalEnergyBurned
2020-09-13 02:55:30 -0400,66.943,BasalEnergyBurned
2020-09-13 01:55:30 -0400,66.943,BasalEnergyBurned
2020-09-13 01:02:53 -0400,1,FlightsClimbed
2020-09-13 01:02:15 -0400,0.0498429,DistanceWalkingRunning
2020-09-13 01:02:15 -0400,103,StepCount
2020-09-13 00:55:30 -0400,66.943,BasalEnergyBurned
2020-09-13 00:52:00 -0400,0.000889479,DistanceWalkingRunning
2020-09-13 00:52:00 -0400,2,StepCount
2020-09-12 23:55:30 -0400,66.943,BasalEnergyBurned
2020-09-12 22:59:09 -0400,50,StepCount
2020-09-12 22:59:09 -0400,0.0226197,DistanceWalkingRunning
2020-09-12 22:55:30 -0400,66.943,BasalEnergyBurned
2020-09-12 21:55:45 -0400,0.0135707,DistanceWalkingRunning
2020-09-12 21:55:45 -0400,40,StepCount
2020-09-12 21:55:30 -0400,66.943,BasalEnergyBurned
2020-09-12 21:39:44 -0400,0.0810025,DistanceWalkingRunning
2020-09-12 21:39:44 -0400,204,StepCount
2020-09-12 21:29:42 -0400,0.0411971,DistanceWalkingRunning
2020-09-12 21:29:42 -0400,115,StepCount
2020-09-12 21:09:43 -0400,27,StepCount
2020-09-12 21:09:43 -0400,0.0155541,DistanceWalkingRunning
2020-09-12 20:55:30 -0400,66.943,BasalEnergyBurned
2020-09-12 20:47:52 -0400,0.0157565,DistanceWalkingRunning
2020-09-12 20:47:52 -0400,46,StepCount
2020-09-12 20:37:27 -0400,0.0267141,DistanceWalkingRunning
2020-09-12 20:37:27 -0400,59,StepCount
2020-09-12 20:27:04 -0400,168,StepCount
2020-09-12 20:27:04 -0400,0.0682444,DistanceWalkingRunning
2020-09-12 20:16:01 -0400,192,StepCount
2020-09-12 20:16:01 -0400,0.0662042,DistanceWalkingRunning
2020-09-12 20:02:58 -0400,93,StepCount
2020-09-12 20:02:58 -0400,0.0344498,DistanceWalkingRunning
2020-09-12 19:55:30 -0400,66.943,BasalEnergyBurned
2020-09-12 19:51:04 -0400,226,StepCount
2020-09-12 19:51:04 -0400,0.0751392,DistanceWalkingRunning
2020-09-12 19:39:40 -0400,256,StepCount
2020-09-12 19:39:40 -0400,0.0898508,DistanceWalkingRunning
2020-09-12 19:30:31 -0400,54,StepCount
2020-09-12 19:30:31 -0400,0.0183143,DistanceWalkingRunning
2020-09-12 19:18:27 -0400,379,StepCount
2020-09-12 19:18:27 -0400,0.145692,DistanceWalkingRunning
2020-09-12 19:07:29 -0400,370,StepCount
2020-09-12 19:07:29 -0400,0.129089,DistanceWalkingRunning
2020-09-12 18:57:29 -0400,0.0659933,DistanceWalkingRunning
2020-09-12 18:57:29 -0400,179,StepCount
2020-09-12 18:55:30 -0400,66.943,BasalEnergyBurned
2020-09-12 18:47:12 -0400,0.0727599,DistanceWalkingRunning
2020-09-12 18:47:12 -0400,193,StepCount
2020-09-12 18:31:33 -0400,0.0048403,DistanceWalkingRunning
2020-09-12 18:31:33 -0400,12,StepCount
2020-09-12 18:19:44 -0400,0.00261902,DistanceWalkingRunning
2020-09-12 18:19:44 -0400,8,StepCount
2020-09-12 18:06:29 -0400,34,StepCount
2020-09-12 18:06:29 -0400,0.0125701,DistanceWalkingRunning
2020-09-12 17:59:54 -0400,1,FlightsClimbed
2020-09-12 17:56:12 -0400,200,StepCount
2020-09-12 17:56:12 -0400,0.0778625,DistanceWalkingRunning
2020-09-12 17:55:30 -0400,66.943,BasalEnergyBurned
2020-09-12 17:42:56 -0400,210,StepCount
2020-09-12 17:42:56 -0400,0.0760419,DistanceWalkingRunning
2020-09-12 17:32:56 -0400,141,StepCount
2020-09-12 17:32:56 -0400,0.0521505,DistanceWalkingRunning
2020-09-12 17:22:24 -0400,19,StepCount
2020-09-12 17:22:24 -0400,0.00869321,DistanceWalkingRunning
2020-09-12 17:11:59 -0400,0.00388683,DistanceWalkingRunning
2020-09-12 17:11:59 -0400,9,StepCount
2020-09-12 16:55:30 -0400,66.943,BasalEnergyBurned
2020-09-12 16:44:19 -0400,0.0163318,DistanceWalkingRunning
2020-09-12 16:44:19 -0400,38,StepCount
2020-09-12 16:29:11 -0400,2,FlightsClimbed
2020-09-12 16:26:40 -0400,0.0835077,DistanceWalkingRunning
2020-09-12 16:26:40 -0400,198,StepCount
2020-09-12 16:12:28 -0400,278,StepCount
2020-09-12 16:12:28 -0400,0.111246,DistanceWalkingRunning
2020-09-12 16:02:00 -0400,353,StepCount
2020-09-12 16:02:00 -0400,0.142468,DistanceWalkingRunning
2020-09-12 15:55:30 -0400,66.943,BasalEnergyBurned
2020-09-12 15:51:40 -0400,198,StepCount
2020-09-12 15:51:40 -0400,0.0865133,DistanceWalkingRunning
2020-09-12 15:38:32 -0400,0.15929,DistanceWalkingRunning
2020-09-12 15:38:32 -0400,386,StepCount
2020-09-12 15:37:10 -0400,1,FlightsClimbed
2020-09-12 15:28:04 -0400,0.133879,DistanceWalkingRunning
2020-09-12 15:28:04 -0400,328,StepCount
2020-09-12 15:18:02 -0400,0.123303,DistanceWalkingRunning
2020-09-12 15:18:02 -0400,293,StepCount
2020-09-12 15:08:03 -0400,0.12321,DistanceWalkingRunning
2020-09-12 15:08:03 -0400,311,StepCount
2020-09-12 15:03:15 -0400,148,StepCount
2020-09-12 15:03:15 -0400,0.0617063,DistanceWalkingRunning
2020-09-12 14:55:30 -0400,66.943,BasalEnergyBurned
2020-09-12 14:52:24 -0400,424,StepCount
2020-09-12 14:52:24 -0400,0.172412,DistanceWalkingRunning
2020-09-12 14:42:24 -0400,362,StepCount
2020-09-12 14:42:24 -0400,0.147509,DistanceWalkingRunning
2020-09-12 14:32:22 -0400,0.155232,DistanceWalkingRunning
2020-09-12 14:32:22 -0400,371,StepCount
2020-09-12 14:22:23 -0400,0.157788,DistanceWalkingRunning
2020-09-12 14:22:23 -0400,346,StepCount
2020-09-12 14:12:23 -0400,428,StepCount
2020-09-12 14:12:23 -0400,0.173484,DistanceWalkingRunning
2020-09-12 14:02:23 -0400,0.0819241,DistanceWalkingRunning
2020-09-12 14:02:23 -0400,196,StepCount
2020-09-12 13:55:30 -0400,66.943,BasalEnergyBurned
2020-09-12 13:51:48 -0400,0.117939,DistanceWalkingRunning
2020-09-12 13:51:48 -0400,318,StepCount
2020-09-12 13:41:48 -0400,0.0581589,DistanceWalkingRunning
2020-09-12 13:41:48 -0400,148,StepCount
2020-09-12 13:30:09 -0400,0.125231,DistanceWalkingRunning
2020-09-12 13:30:09 -0400,329,StepCount
2020-09-12 13:19:23 -0400,0.00710735,DistanceWalkingRunning
2020-09-12 13:19:23 -0400,16,StepCount
2020-09-12 13:01:27 -0400,16,StepCount
2020-09-12 13:01:27 -0400,0.00681121,DistanceWalkingRunning
2020-09-12 12:55:30 -0400,66.943,BasalEnergyBurned
2020-09-12 12:48:32 -0400,100,StepCount
2020-09-12 12:48:32 -0400,0.0423851,DistanceWalkingRunning
2020-09-12 12:32:56 -0400,104,StepCount
2020-09-12 12:32:56 -0400,0.0454166,DistanceWalkingRunning
2020-09-12 12:21:53 -0400,14,StepCount
2020-09-12 12:21:53 -0400,0.00621182,DistanceWalkingRunning
2020-09-12 12:07:31 -0400,324,StepCount
2020-09-12 12:07:31 -0400,0.122372,DistanceWalkingRunning
2020-09-12 11:56:41 -0400,0.0565809,DistanceWalkingRunning
2020-09-12 11:56:41 -0400,146,StepCount
2020-09-12 11:55:30 -0400,66.943,BasalEnergyBurned
2020-09-12 11:46:41 -0400,382,StepCount
2020-09-12 11:46:41 -0400,0.146311,DistanceWalkingRunning
2020-09-12 10:55:30 -0400,66.943,BasalEnergyBurned
2020-09-12 10:42:03 -0400,2,FlightsClimbed
2020-09-12 10:37:25 -0400,346,StepCount
2020-09-12 10:37:25 -0400,0.131275,DistanceWalkingRunning
2020-09-12 10:05:36 -0400,375,StepCount
2020-09-12 10:05:36 -0400,0.140857,DistanceWalkingRunning
2020-09-12 09:55:37 -0400,0.0891323,DistanceWalkingRunning
2020-09-12 09:55:37 -0400,283,StepCount
2020-09-12 09:55:30 -0400,66.943,BasalEnergyBurned
2020-09-12 09:45:34 -0400,0.0839388,DistanceWalkingRunning
2020-09-12 09:45:34 -0400,260,StepCount
2020-09-12 08:55:30 -0400,66.943,BasalEnergyBurned
2020-09-12 07:55:30 -0400,66.943,BasalEnergyBurned
2020-09-12 06:55:30 -0400,66.943,BasalEnergyBurned
2020-09-12 05:55:30 -0400,66.943,BasalEnergyBurned
2020-09-12 04:55:30 -0400,66.943,BasalEnergyBurned
2020-09-12 03:55:30 -0400,66.943,BasalEnergyBurned
2020-09-12 03:36:20 -0400,3,StepCount
2020-09-12 03:36:20 -0400,0.000945071,DistanceWalkingRunning
2020-09-12 03:23:02 -0400,0.0138796,DistanceWalkingRunning
2020-09-12 03:23:02 -0400,46,StepCount
2020-09-12 02:55:30 -0400,66.943,BasalEnergyBurned
2020-09-12 02:54:09 -0400,0.0384541,DistanceWalkingRunning
2020-09-12 02:54:09 -0400,75,StepCount
2020-09-12 02:43:36 -0400,553,StepCount
2020-09-12 02:43:36 -0400,0.289679,DistanceWalkingRunning
2020-09-12 02:30:47 -0400,87,StepCount
2020-09-12 02:30:47 -0400,0.0367306,DistanceWalkingRunning
2020-09-12 02:20:02 -0400,557,StepCount
2020-09-12 02:20:02 -0400,0.2922,DistanceWalkingRunning
2020-09-12 02:09:41 -0400,473,StepCount
2020-09-12 02:09:41 -0400,0.238115,DistanceWalkingRunning
2020-09-12 01:58:22 -0400,0.109178,DistanceWalkingRunning
2020-09-12 01:58:22 -0400,211,StepCount
2020-09-12 01:55:30 -0400,66.943,BasalEnergyBurned
2020-09-12 01:48:23 -0400,512,StepCount
2020-09-12 01:48:23 -0400,0.243206,DistanceWalkingRunning
2020-09-12 01:38:20 -0400,531,StepCount
2020-09-12 01:38:20 -0400,0.257592,DistanceWalkingRunning
2020-09-12 01:28:10 -0400,0.266053,DistanceWalkingRunning
2020-09-12 01:28:10 -0400,542,StepCount
2020-09-12 01:18:00 -0400,492,StepCount
2020-09-12 01:18:00 -0400,0.236714,DistanceWalkingRunning
2020-09-12 01:07:48 -0400,555,StepCount
2020-09-12 01:07:48 -0400,0.280326,DistanceWalkingRunning
2020-09-12 00:57:35 -0400,0.297613,DistanceWalkingRunning
2020-09-12 00:57:35 -0400,540,StepCount
2020-09-12 00:55:30 -0400,66.943,BasalEnergyBurned
2020-09-12 00:47:35 -0400,0.175574,DistanceWalkingRunning
2020-09-12 00:47:35 -0400,423,StepCount
2020-09-12 00:39:03 -0400,1,FlightsClimbed
2020-09-12 00:37:10 -0400,191,StepCount
2020-09-12 00:37:10 -0400,0.0674919,DistanceWalkingRunning
2020-09-12 00:04:23 -0400,91,StepCount
2020-09-12 00:04:23 -0400,0.0326936,DistanceWalkingRunning
2020-09-11 23:55:30 -0400,66.943,BasalEnergyBurned
2020-09-11 22:55:30 -0400,66.943,BasalEnergyBurned
2020-09-11 22:34:22 -0400,25,StepCount
2020-09-11 22:34:22 -0400,0.00841917,DistanceWalkingRunning
2020-09-11 21:55:30 -0400,66.943,BasalEnergyBurned
2020-09-11 21:54:01 -0400,0.105037,DistanceWalkingRunning
2020-09-11 21:54:01 -0400,274,StepCount
2020-09-11 21:44:01 -0400,107,StepCount
2020-09-11 21:44:01 -0400,0.0470076,DistanceWalkingRunning
2020-09-11 21:32:02 -0400,59,StepCount
2020-09-11 21:32:02 -0400,0.0247361,DistanceWalkingRunning
2020-09-11 21:09:42 -0400,136,StepCount
2020-09-11 21:09:42 -0400,0.0516598,DistanceWalkingRunning
2020-09-11 20:59:32 -0400,1,FlightsClimbed
2020-09-11 20:58:41 -0400,360,StepCount
2020-09-11 20:58:41 -0400,0.141594,DistanceWalkingRunning
2020-09-11 20:55:30 -0400,66.943,BasalEnergyBurned
2020-09-11 19:55:30 -0400,66.943,BasalEnergyBurned
2020-09-11 19:47:43 -0400,8,StepCount
2020-09-11 19:47:43 -0400,0.00345909,DistanceWalkingRunning
2020-09-11 19:31:11 -0400,18,StepCount
2020-09-11 19:31:11 -0400,0.00819862,DistanceWalkingRunning
2020-09-11 18:55:30 -0400,66.943,BasalEnergyBurned
2020-09-11 18:54:54 -0400,0.0165048,DistanceWalkingRunning
2020-09-11 18:54:54 -0400,38,StepCount
2020-09-11 18:45:10 -0400,1,FlightsClimbed
2020-09-11 18:44:44 -0400,92,StepCount
2020-09-11 18:44:44 -0400,0.0435169,DistanceWalkingRunning
2020-09-11 18:27:59 -0400,7,StepCount
2020-09-11 18:27:59 -0400,0.00307611,DistanceWalkingRunning
2020-09-11 18:05:51 -0400,0.0176337,DistanceWalkingRunning
2020-09-11 18:05:51 -0400,37,StepCount
2020-09-11 17:55:30 -0400,66.943,BasalEnergyBurned
2020-09-11 17:28:27 -0400,1,FlightsClimbed
